Number of Wires,Number of Cells,Circuit Size,Inv/Buff,Combinational Cells,Sequential Cells,Multiplexers,Gates,Circuits,Label
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,30,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,79,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,90,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
234,217,479,33,155,62,0,74,RS232_T1900,Trojan Infected
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
234,217,479,33,155,62,0,74,RS232_T1900,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
234,217,479,33,155,62,0,74,RS232_T1900,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
234,217,479,33,155,62,0,74,RS232_T1900,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Infected
284,270,581,28,221,57,57,86,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
230,215,472,33,156,59,0,74,RS232_T1000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,0,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,0,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,339,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,0,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,0,68,RS232_2000,Trojan Infected
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Free
228,212,468,33,153,59,0,71,RS232_2000,Trojan Infected
283,265,576,28,206,59,0,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
283,265,576,28,206,59,60,68,RS232_2000,Trojan Infected
